,city,country,currency,dateSold,daysOnZillow,homeStatus,homeStatusForHDP,homeType,imgSrc,isFeatured,isNonOwnerOccupied,isPreforeclosureAuction,isPremierBuilder,isShowcaseListing,isUnmappable,isZillowOwned,latitude,listing_sub_type,livingArea,longitude,lotAreaUnit,lotAreaValue,price,priceForHDP,rentZestimate,shouldHighlight,state,streetAddress,taxAssessedValue,timeOnZillow,zestimate,zipcode,zpid,bathrooms,bedrooms,unit,datePriceChanged,priceChange,priceReduction
0,Columbus,USA,USD,1710486000000,1,RECENTLY_SOLD,RECENTLY_SOLD,MULTI_FAMILY,https://photos.zillowstatic.com/fp/b176412afc86babc1e7043e809f27ab4-p_e.jpg,False,True,False,False,False,False,False,39.943768,{},2444.0,-82.98946,sqft,3920.4,520000.0,520000.0,3319,False,OH,276 1/2 Reinhard Ave,348900.0,112552000,575500.0,43206,33837334,,,,,,
1,Columbus,USA,USD,1710486000000,1,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9c05a0e0d1e5b54f4f5c7df395f6eb55-p_e.jpg,False,True,False,False,False,False,False,39.947437,{},1297.0,-82.98379,sqft,4356.0,375000.0,375000.0,1674,False,OH,515 Forest St,373900.0,112552000,375700.0,43206,33845367,1.0,2.0,,,,
2,Columbus,USA,USD,1710486000000,1,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9669ad766ce361c327eabacfc66c1c4c-p_e.jpg,False,True,False,False,False,False,False,39.972206,{},3095.0,-82.949066,acres,0.26,440000.0,440000.0,3499,False,OH,189 N Nelson Rd,210500.0,112552000,454800.0,43219,33846345,4.0,5.0,,,,
3,Columbus,USA,USD,1710486000000,1,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/db5ddcc4741c21388b2d101cebed882f-p_e.jpg,False,True,False,False,False,False,False,39.989384,{},1516.0,-82.984726,sqft,3484.8,240000.0,240000.0,1995,False,OH,777 Leona Ave,45500.0,112552000,222600.0,43201,33851881,2.0,3.0,,,,
4,Columbus,USA,USD,1710486000000,1,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b49b169a1a9b8aa6a5f48bb124e7a8bd-p_e.jpg,False,True,False,False,False,False,False,39.96209,{},2252.0,-82.97221,sqft,5227.2,570000.0,570000.0,3364,False,OH,1040 Franklin Ave,465800.0,112552000,586200.0,43205,33853804,2.0,3.0,,,,
5,Columbus,USA,USD,1710486000000,1,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/81b78428889699bb7f55add9279bb619-p_e.jpg,False,True,False,False,False,False,False,40.01944,{},672.0,-82.97588,sqft,4791.6,139999.0,139999.0,1099,False,OH,1310 Genessee Ave,42000.0,112552000,,43211,33860349,1.0,2.0,,,,
6,Columbus,USA,USD,1710486000000,1,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0da303f4f5d2e90335254d8d0af27382-p_e.jpg,False,True,False,False,False,False,False,40.07512,{},1032.0,-83.0022,sqft,6534.0,335000.0,335000.0,1949,False,OH,608 E Lincoln Ave,203200.0,112552000,314800.0,43214,33899253,2.0,3.0,,,,
7,Columbus,USA,USD,1710486000000,1,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fafc98bfb0e9dabe64b85e9e38f38a2a-p_e.jpg,False,True,False,False,False,False,False,40.03196,{},1734.0,-83.04433,sqft,9583.2,480000.0,480000.0,2500,False,OH,3590 Grafton Ave,216000.0,112552000,424600.0,43220,33910015,2.0,3.0,,,,
8,Columbus,USA,USD,1710486000000,1,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/158e3fd839b4ea0979109eb80edce280-p_e.jpg,False,True,False,False,False,False,False,39.91283,{},1103.0,-82.95188,sqft,6098.4,167000.0,167000.0,1400,False,OH,1625 Omar Dr,71400.0,112552000,157900.0,43207,33915839,1.0,3.0,,,,
9,Columbus,USA,USD,1710486000000,1,RECENTLY_SOLD,RECENTLY_SOLD,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/613fd1757333a2a0973fe149ae6713b7-p_e.jpg,False,True,False,False,False,False,False,39.933853,{},950.0,-82.91444,sqft,9147.6,115000.0,115000.0,1474,False,OH,2966 Queensrowe Dr,79700.0,112552000,118200.0,43227,33918635,2.0,2.0,,,,
